actual,ML_prediction,DL_prediction
TRUE,0.58174133,1.0
TRUE,0.87,1.0
TRUE,0.63,0.0
TRUE,0.75301516,1.0
TRUE,0.2500772,1.0
TRUE,0.95,0.0
TRUE,0.29,1.0
TRUE,0.86,0.0
TRUE,0.3936589,1.0
TRUE,0.44995505,0.0
TRUE,0.5507478,1.0
TRUE,0.53211904,1.0
TRUE,0.3936589,0.0
TRUE,0.045833334,0.0
TRUE,0.89,1.0
TRUE,0.6561518,1.0
TRUE,0.5026905,1.0
TRUE,0.53154016,0.0
TRUE,0.8395238,1.0
TRUE,0.60333335,1.0
TRUE,0.55211383,1.0
TRUE,0.6561518,0.0
TRUE,0.9141667,0.0
TRUE,0.81,1.0
TRUE,0.5775324,0.0
TRUE,0.6893333,0.0
TRUE,0.5779167,1.0
TRUE,0.56,1.0
TRUE,0.68061864,0.0
TRUE,0.6650691,0.0
TRUE,0.5195675,0.0
TRUE,0.6561518,0.0
TRUE,0.77416664,1.0
TRUE,0.3936589,0.0
TRUE,0.78,1.0
TRUE,0.97,1.0
TRUE,0.43142062,0.0
TRUE,0.41433623,1.0
TRUE,0.107448876,1.0
TRUE,0.70501983,1.0
TRUE,0.28354546,0.0
TRUE,0.75,0.0
TRUE,1.0,0.0
TRUE,0.39482322,1.0
TRUE,0.59,0.0
TRUE,0.81,0.0
TRUE,0.72,1.0
TRUE,0.63121796,1.0
TRUE,0.66802996,0.0
TRUE,0.37008908,1.0
TRUE,0.3936589,1.0
TRUE,0.41433623,1.0
TRUE,0.65427995,1.0
TRUE,0.96,1.0
TRUE,0.91,1.0
TRUE,0.67759997,0.0
TRUE,0.45583335,0.0
TRUE,0.371,0.0
TRUE,0.64,1.0
TRUE,0.42766762,1.0
TRUE,0.42131588,1.0
TRUE,0.59684396,0.0
TRUE,0.42131588,1.0
TRUE,0.7,1.0
TRUE,0.915131,1.0
TRUE,0.34609523,1.0
TRUE,0.59684396,0.0
TRUE,0.8920854,0.0
TRUE,0.4482143,1.0
TRUE,0.37008908,1.0
TRUE,0.95,0.0
TRUE,0.45226714,0.0
TRUE,0.6848694,1.0
TRUE,0.82,1.0
TRUE,0.49633333,1.0
TRUE,0.6069731,0.0
TRUE,0.55211383,0.0
TRUE,0.6158975,1.0
TRUE,0.91,1.0
TRUE,0.435,1.0
TRUE,0.6069731,1.0
TRUE,0.59684396,0.0
TRUE,0.59684396,0.0
TRUE,0.6069731,0.0
TRUE,0.50822896,1.0
TRUE,0.67759997,1.0
TRUE,0.48150972,0.0
TRUE,0.45,1.0
TRUE,0.5,1.0
TRUE,0.6069731,1.0
TRUE,0.3936589,0.0
TRUE,0.65427995,1.0
TRUE,0.5554629,1.0
TRUE,0.9335,0.0
TRUE,0.3936589,1.0
TRUE,0.55211383,0.0
TRUE,0.9335,1.0
TRUE,0.87904763,1.0
TRUE,0.955,0.0
TRUE,0.93,0.0
TRUE,0.79,1.0
TRUE,0.17325252,0.0
TRUE,0.96,1.0
TRUE,0.55211383,0.0
TRUE,0.76,1.0
TRUE,0.6069731,0.0
TRUE,0.67759997,0.0
TRUE,0.9,1.0
