actual,ML_prediction,DL_prediction
TRUE,0.66683805,1.0
TRUE,0.74634963,1.0
TRUE,0.455,1.0
TRUE,0.73,0.0
TRUE,0.48871243,1.0
TRUE,0.7388693,1.0
TRUE,0.9,0.0
TRUE,0.905,1.0
TRUE,0.99,1.0
TRUE,0.39252794,1.0
TRUE,0.43463477,0.0
TRUE,0.715016,0.0
TRUE,0.39252794,1.0
TRUE,0.88233334,0.0
TRUE,0.89,1.0
TRUE,0.6403822,1.0
TRUE,0.6232024,1.0
TRUE,0.52564365,1.0
TRUE,0.8150833,1.0
TRUE,0.98,1.0
TRUE,0.54763025,0.0
TRUE,0.6403822,0.0
TRUE,0.87,1.0
TRUE,0.5690717,0.0
TRUE,0.6067215,1.0
TRUE,0.73,1.0
TRUE,0.6001667,1.0
TRUE,0.65,1.0
TRUE,0.646941,1.0
TRUE,0.32607922,0.0
TRUE,0.6403822,1.0
TRUE,0.45266667,0.0
TRUE,0.39252794,0.0
TRUE,0.66,1.0
TRUE,0.94,1.0
TRUE,0.26521313,0.0
TRUE,0.023,1.0
TRUE,0.37006348,0.0
TRUE,0.06678832,1.0
TRUE,0.45839682,1.0
TRUE,0.6067215,1.0
TRUE,0.9471636,1.0
TRUE,0.81,0.0
TRUE,0.6067215,1.0
TRUE,0.1275,1.0
TRUE,0.7569048,1.0
TRUE,0.55346644,1.0
TRUE,0.44,0.0
TRUE,0.9325,0.0
TRUE,0.77,1.0
TRUE,0.74650687,1.0
TRUE,0.57614386,0.0
TRUE,0.39594248,0.0
TRUE,0.39252794,0.0
TRUE,0.37006348,1.0
TRUE,0.6165829,1.0
TRUE,0.94,1.0
TRUE,0.97,1.0
TRUE,0.6147355,1.0
TRUE,0.720246,0.0
TRUE,0.5,0.0
TRUE,0.32565716,0.0
TRUE,0.5722942,0.0
TRUE,0.7587678,1.0
TRUE,0.57976663,0.0
TRUE,0.7,1.0
TRUE,0.96900755,1.0
TRUE,0.5722942,0.0
TRUE,0.89929825,0.0
TRUE,0.5745119,0.0
TRUE,0.39594248,1.0
TRUE,0.88,1.0
TRUE,0.4049259,0.0
TRUE,0.83,1.0
TRUE,0.58404905,1.0
TRUE,0.66366667,1.0
TRUE,0.54763025,1.0
TRUE,0.80245924,1.0
TRUE,0.13333334,0.0
TRUE,0.6067215,1.0
TRUE,0.8828168,0.0
TRUE,0.5722942,0.0
TRUE,0.89066666,0.0
TRUE,0.16527887,1.0
TRUE,0.6147355,1.0
TRUE,0.63,1.0
TRUE,0.77490467,0.0
TRUE,0.75,1.0
TRUE,0.85,1.0
TRUE,0.6067215,1.0
TRUE,0.6147355,1.0
TRUE,0.6165829,1.0
TRUE,0.48637187,1.0
TRUE,0.9086667,1.0
TRUE,0.39252794,1.0
TRUE,0.54763025,0.0
TRUE,0.9086667,1.0
TRUE,0.91,0.0
TRUE,0.85183334,1.0
TRUE,0.8433333,1.0
TRUE,0.87,1.0
TRUE,0.7848333,0.0
TRUE,0.95,1.0
TRUE,0.85,1.0
TRUE,0.61819947,0.0
TRUE,0.94883335,0.0
TRUE,0.72,1.0
TRUE,0.54763025,1.0
TRUE,0.87,1.0
TRUE,0.6067215,0.0
TRUE,0.6147355,0.0
TRUE,0.8,1.0
TRUE,0.54763025,1.0
TRUE,0.6305934,1.0
TRUE,0.78,1.0
TRUE,0.745,1.0
TRUE,0.93,0.0
TRUE,0.73,1.0
TRUE,0.69476193,0.0
TRUE,0.88,1.0
TRUE,0.6165829,1.0
TRUE,0.6165829,0.0
TRUE,0.5722942,1.0
TRUE,0.94,1.0
TRUE,0.56,1.0
TRUE,0.7587678,0.0
TRUE,0.99,1.0
TRUE,0.54,0.0
TRUE,0.77490467,1.0
TRUE,0.7748376,1.0
TRUE,1.0,1.0
TRUE,0.98,0.0
TRUE,0.25,1.0
TRUE,0.8796667,0.0
TRUE,0.92766666,0.0
TRUE,0.6165829,1.0
TRUE,0.84,1.0
TRUE,0.40166667,0.0
TRUE,0.69811904,0.0
TRUE,0.48871243,1.0
TRUE,0.57614386,0.0
TRUE,0.69,1.0
TRUE,0.7,1.0
TRUE,0.54763025,1.0
TRUE,0.6403822,1.0
TRUE,0.76,1.0
TRUE,0.5083993,1.0
TRUE,0.96,1.0
TRUE,0.12,0.0
TRUE,0.61,0.0
TRUE,0.96900755,1.0
TRUE,0.998,1.0
TRUE,0.5722942,0.0
TRUE,0.27,0.0
TRUE,0.87,1.0
TRUE,0.82842857,1.0
TRUE,0.87,0.0
TRUE,0.59,1.0
TRUE,0.8231183,1.0
TRUE,0.83,1.0
TRUE,0.8,1.0
TRUE,0.6165829,0.0
TRUE,0.80245924,1.0
TRUE,0.39252794,0.0
TRUE,0.5083993,1.0
TRUE,0.93,1.0
TRUE,0.65366334,1.0
TRUE,0.77,0.0
TRUE,0.57976663,0.0
TRUE,0.25,1.0
TRUE,0.6147355,0.0
TRUE,0.54763025,0.0
TRUE,0.57614386,1.0
TRUE,0.5690717,1.0
TRUE,0.436476,1.0
TRUE,0.94883335,1.0
TRUE,0.6668175,1.0
TRUE,0.60314286,1.0
TRUE,0.48871243,0.0
TRUE,0.9,1.0
TRUE,0.93,0.0
TRUE,0.74,1.0
